# e/g shape veto vs |ieta|, hwPt
# Index is (|ieta|-1)*256*64+shape*256+hwPt
# Veto corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 19 1 </header>

242 1 # ieta=1, shape=0, ET=242
243 1 # ieta=1, shape=0, ET=243
244 1 # ieta=1, shape=0, ET=244
245 1 # ieta=1, shape=0, ET=245
246 1 # ieta=1, shape=0, ET=246
247 1 # ieta=1, shape=0, ET=247
248 1 # ieta=1, shape=0, ET=248
249 1 # ieta=1, shape=0, ET=249
250 1 # ieta=1, shape=0, ET=250
251 1 # ieta=1, shape=0, ET=251
252 1 # ieta=1, shape=0, ET=252
253 1 # ieta=1, shape=0, ET=253
254 1 # ieta=1, shape=0, ET=254
255 1 # ieta=1, shape=0, ET=255
256 1 # ieta=1, shape=1, ET=0
257 1 # ieta=1, shape=1, ET=1
258 1 # ieta=1, shape=1, ET=2
259 1 # ieta=1, shape=1, ET=3
260 1 # ieta=1, shape=1, ET=4
261 1 # ieta=1, shape=1, ET=5
262 1 # ieta=1, shape=1, ET=6
263 1 # ieta=1, shape=1, ET=7
264 1 # ieta=1, shape=1, ET=8
265 1 # ieta=1, shape=1, ET=9
266 1 # ieta=1, shape=1, ET=10
267 1 # ieta=1, shape=1, ET=11
268 1 # ieta=1, shape=1, ET=12
269 1 # ieta=1, shape=1, ET=13
270 1 # ieta=1, shape=1, ET=14
271 1 # ieta=1, shape=1, ET=15
272 1 # ieta=1, shape=1, ET=16
273 1 # ieta=1, shape=1, ET=17
274 1 # ieta=1, shape=1, ET=18
275 1 # ieta=1, shape=1, ET=19
276 1 # ieta=1, shape=1, ET=20
277 1 # ieta=1, shape=1, ET=21
278 1 # ieta=1, shape=1, ET=22
279 1 # ieta=1, shape=1, ET=23
280 1 # ieta=1, shape=1, ET=24
281 1 # ieta=1, shape=1, ET=25
282 1 # ieta=1, shape=1, ET=26
283 1 # ieta=1, shape=1, ET=27
284 1 # ieta=1, shape=1, ET=28
285 1 # ieta=1, shape=1, ET=29
286 1 # ieta=1, shape=1, ET=30
287 1 # ieta=1, shape=1, ET=31
288 1 # ieta=1, shape=1, ET=32
289 1 # ieta=1, shape=1, ET=33
290 1 # ieta=1, shape=1, ET=34
291 1 # ieta=1, shape=1, ET=35
292 1 # ieta=1, shape=1, ET=36
293 1 # ieta=1, shape=1, ET=37
294 1 # ieta=1, shape=1, ET=38
295 1 # ieta=1, shape=1, ET=39
296 1 # ieta=1, shape=1, ET=40
297 1 # ieta=1, shape=1, ET=41
298 1 # ieta=1, shape=1, ET=42
299 1 # ieta=1, shape=1, ET=43
300 1 # ieta=1, shape=1, ET=44
301 1 # ieta=1, shape=1, ET=45
302 1 # ieta=1, shape=1, ET=46
303 1 # ieta=1, shape=1, ET=47
304 1 # ieta=1, shape=1, ET=48
305 1 # ieta=1, shape=1, ET=49
306 1 # ieta=1, shape=1, ET=50
307 1 # ieta=1, shape=1, ET=51
308 1 # ieta=1, shape=1, ET=52
309 1 # ieta=1, shape=1, ET=53
310 1 # ieta=1, shape=1, ET=54
311 1 # ieta=1, shape=1, ET=55
312 1 # ieta=1, shape=1, ET=56
313 1 # ieta=1, shape=1, ET=57
314 1 # ieta=1, shape=1, ET=58
315 1 # ieta=1, shape=1, ET=59
316 1 # ieta=1, shape=1, ET=60
317 1 # ieta=1, shape=1, ET=61
318 1 # ieta=1, shape=1, ET=62
319 1 # ieta=1, shape=1, ET=63
320 1 # ieta=1, shape=1, ET=64
321 1 # ieta=1, shape=1, ET=65
322 1 # ieta=1, shape=1, ET=66
323 1 # ieta=1, shape=1, ET=67
324 1 # ieta=1, shape=1, ET=68
325 1 # ieta=1, shape=1, ET=69
326 1 # ieta=1, shape=1, ET=70
327 1 # ieta=1, shape=1, ET=71
328 1 # ieta=1, shape=1, ET=72
329 1 # ieta=1, shape=1, ET=73
330 1 # ieta=1, shape=1, ET=74
331 1 # ieta=1, shape=1, ET=75
332 1 # ieta=1, shape=1, ET=76
333 1 # ieta=1, shape=1, ET=77
334 1 # ieta=1, shape=1, ET=78
335 1 # ieta=1, shape=1, ET=79
336 1 # ieta=1, shape=1, ET=80
337 1 # ieta=1, shape=1, ET=81
338 1 # ieta=1, shape=1, ET=82
339 1 # ieta=1, shape=1, ET=83
340 1 # ieta=1, shape=1, ET=84
341 1 # ieta=1, shape=1, ET=85
342 1 # ieta=1, shape=1, ET=86
343 1 # ieta=1, shape=1, ET=87
344 1 # ieta=1, shape=1, ET=88
345 1 # ieta=1, shape=1, ET=89
346 1 # ieta=1, shape=1, ET=90
347 1 # ieta=1, shape=1, ET=91
348 1 # ieta=1, shape=1, ET=92
349 1 # ieta=1, shape=1, ET=93
350 1 # ieta=1, shape=1, ET=94
351 1 # ieta=1, shape=1, ET=95
352 1 # ieta=1, shape=1, ET=96
353 1 # ieta=1, shape=1, ET=97
354 1 # ieta=1, shape=1, ET=98
355 1 # ieta=1, shape=1, ET=99
356 1 # ieta=1, shape=1, ET=100
